base_au_rank,base_au_id,au_id,site_series_id,site_series_label,site_series_split_applied,site_series_split_threshold,base_au_area_share_for_split,source_fragment_count,forest_cover_id_count,covered_area_ha,covered_area_share,base_au_area_ha,base_au_area_share,base_au_cumulative_area_share,site_series_share_of_base_au
6,cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss12,ss12,CwSs - Skunk cabbage (12),True,0.04,0.06,4,2,2.5222970924337798,0.0005242934089401654,289.5712833954583,0.060191289819904285,0.5711468822738259,0.00871045313215385
6,cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ssnonforestedrocks,ssnonforestedrocks,Non-forested: rocks,True,0.04,0.06,1,1,0.576657365958613,0.00011986599718797213,289.5712833954583,0.060191289819904285,0.5711468822738259,0.0019914176543918216
7,cwh_vm_2_hw_fdc,cwh_vm_2_hw_fdc_ss01,ss01,HwBa - Blueberry (01),True,0.04,0.06,45,16,127.75489400647724,0.026555574713371707,265.21856082094155,0.05512924856637074,0.6262761308401966,0.48169665656518323
7,cwh_vm_2_hw_fdc,cwh_vm_2_hw_fdc_ss03,ss03,HwCw - Salal (03),True,0.04,0.06,17,12,50.39068896614261,0.0104743831232863,265.21856082094155,0.05512924856637074,0.6262761308401966,0.18999684188831398
7,cwh_vm_2_hw_fdc,cwh_vm_2_hw_fdc_ss05,ss05,Cw - Swordfern (05),True,0.04,0.06,14,6,36.19264078831974,0.007523127657870547,265.21856082094155,0.05512924856637074,0.6262761308401966,0.13646345367492843
7,cwh_vm_2_hw_fdc,cwh_vm_2_hw_fdc_ss04,ss04,CwHw - Swordfern (04),True,0.04,0.06,4,3,22.68570414871754,0.004715529030270821,265.21856082094155,0.05512924856637074,0.6262761308401966,0.0855358843607988
7,cwh_vm_2_hw_fdc,cwh_vm_2_hw_fdc_ss01,ss01,Hw - Flatmoss (01),True,0.04,0.06,3,3,15.686193113448233,0.0032605864255300598,265.21856082094155,0.05512924856637074,0.6262761308401966,0.0591444017526305
7,cwh_vm_2_hw_fdc,cwh_vm_2_hw_fdc_ss06,ss06,HwBa - Deer fern (06),True,0.04,0.06,4,2,8.078756567137209,0.0016792783186754267,265.21856082094155,0.05512924856637074,0.6262761308401966,0.03046075109574048
7,cwh_vm_2_hw_fdc,cwh_vm_2_hw_fdc_ssnonforested,ssnonforested,Non-forested,True,0.04,0.06,2,1,2.2784843744910908,0.0004736136530079266,265.21856082094155,0.05512924856637074,0.6262761308401966,0.008590968774728314
7,cwh_vm_2_hw_fdc,cwh_vm_2_hw_fdc_ss03,ss03,FdHw - Salal (03),True,0.04,0.06,2,2,1.5847812608582754,0.00032941812135149694,265.21856082094155,0.05512924856637074,0.6262761308401966,0.0059753784047120945
