au_id,managed_curve_id,age,volume,height,dbhq,tph,gross_yield,crown_cover
cwh_vm_1_hw_cw_ss03,60010,90,674.7,30.5,,,769.9,95.5
cwh_vm_1_hw_cw_ss03,60010,100,749.8,32.2,,,857.5,95.0
cwh_vm_1_hw_cw_ss03,60010,110,824.8,33.8,,,947.9,94.5
cwh_vm_1_hw_cw_ss03,60010,120,888.4,35.2,,,1027.7,94.0
cwh_vm_1_hw_cw_ss03,60010,130,939.0,36.4,,,1095.8,93.5
cwh_vm_1_hw_cw_ss03,60010,140,984.4,37.5,,,1158.3,93.0
cwh_vm_1_hw_cw_ss03,60010,150,1027.3,38.5,,,1218.6,92.5
cwh_vm_1_hw_cw_ss03,60010,160,1065.5,39.4,,,1274.0,92.0
cwh_vm_1_hw_cw_ss03,60010,170,1099.9,40.2,,,1325.4,91.5
cwh_vm_1_hw_cw_ss03,60010,180,1130.6,40.9,,,1372.7,91.0
cwh_vm_1_hw_cw_ss03,60010,190,1157.3,41.6,,,1415.7,90.5
cwh_vm_1_hw_cw_ss03,60010,200,1179.9,42.2,,,1454.5,90.0
cwh_vm_1_hw_cw_ss03,60010,210,1197.8,42.7,,,1488.6,89.4
cwh_vm_1_hw_cw_ss03,60010,220,1213.1,43.2,,,1520.0,88.9
cwh_vm_1_hw_cw_ss03,60010,230,1226.3,43.7,,,1548.9,88.4
cwh_vm_1_hw_cw_ss03,60010,240,1237.7,44.1,,,1575.6,87.8
cwh_vm_1_hw_cw_ss03,60010,250,1249.4,44.5,,,1602.1,87.3
cwh_vm_1_hw_cw_ss03,60010,260,1259.8,44.9,,,1627.3,86.8
cwh_vm_1_hw_cw_ss03,60010,270,1268.9,45.2,,,1650.6,86.3
cwh_vm_1_hw_cw_ss03,60010,280,1276.7,45.6,,,1672.5,85.8
cwh_vm_1_hw_cw_ss03,60010,290,1283.5,45.9,,,1693.2,85.2
cwh_vm_1_hw_cw_ss03,60010,300,1289.6,46.2,,,1713.0,84.7
cwh_vm_1_hw_cw_ss03,60010,310,1293.7,46.4,,,1731.3,84.2
cwh_vm_1_hw_cw_ss03,60010,320,1296.8,46.7,,,1748.4,83.7
cwh_vm_1_hw_cw_ss03,60010,330,1298.9,46.9,,,1764.2,83.2
cwh_vm_1_hw_cw_ss03,60010,340,1299.5,47.1,,,1777.4,82.7
