source_feature_class,res_key,forest_cover_id,bec,bec_zone,bec_subzone,bec_variant,leading_species_1,leading_species_2,leading_species_1_share,leading_species_2_share,species_count,tie_break_used,shape_area_ha,au_id,assignment_status
resultant,590,395,CWHdm,cwh,dm,x,cw,hw,60.0,40.0,2,False,0.14284940569951543,cwh_dm_x_cw_hw,assigned
resultant,647,488,CWHdm,cwh,dm,x,cw,hw,50.0,40.0,3,False,7.46585110654693,cwh_dm_x_cw_hw,assigned
resultant,681,893,CWHdm,cwh,dm,x,cw,hw,50.0,35.0,3,False,0.9192213113832107,cwh_dm_x_cw_hw,assigned
resultant,719,942,CWHdm,cwh,dm,x,cw,hw,50.0,45.0,3,False,1.2757891461180535,cwh_dm_x_cw_hw,assigned
resultant,720,942,CWHdm,cwh,dm,x,cw,hw,50.0,45.0,3,False,1.9004640895480385,cwh_dm_x_cw_hw,assigned
resultant,721,942,CWHdm,cwh,dm,x,cw,hw,50.0,45.0,3,False,0.2625346997646692,cwh_dm_x_cw_hw,assigned
resultant,775,1120,CWHdm,cwh,dm,x,cw,hw,40.0,30.0,5,False,3.45373757827141,cwh_dm_x_cw_hw,assigned
resultant,788,627,CWHdm,cwh,dm,x,cw,hw,45.0,30.0,3,False,7.418170881711209,cwh_dm_x_cw_hw,assigned
resultant,803,137,CWHdm,cwh,dm,x,cw,hw,55.0,40.0,3,False,8.447102233071114,cwh_dm_x_cw_hw,assigned
resultant,804,137,CWHdm,cwh,dm,x,cw,hw,55.0,40.0,3,False,0.7676799140915499,cwh_dm_x_cw_hw,assigned
resultant,913,322,CWHdm,cwh,dm,x,cw,hw,70.0,25.0,3,False,2.068573109584713,cwh_dm_x_cw_hw,assigned
resultant,949,953,CWHdm,cwh,dm,x,cw,hw,55.0,35.0,3,False,8.834540673578077,cwh_dm_x_cw_hw,assigned
resultant,950,953,CWHdm,cwh,dm,x,cw,hw,55.0,35.0,3,False,0.5711217838350823,cwh_dm_x_cw_hw,assigned
