TRACK,OFFSET,NEXTAGE,CYCLE,status,au,auf,oper,ct,aux
258,0,0,0,N,51,2021,Operable,N,51
259,0,0,0,C,51,2021,Operable,N,51
260,0,0,0,C,2021,2021,Operable,N,51
261,0,0,0,N,419,419,Reserve,N,419
262,0,0,0,N,468,468,Reserve,N,468
263,0,0,0,N,630,2001,Low Operability,N,630
264,0,0,0,C,630,2001,Low Operability,N,630
265,0,0,0,C,2001,2001,Low Operability,N,630
266,0,0,0,N,650,650,Reserve,N,650
267,0,0,0,N,656,2001,Low Operability,N,656
268,0,0,0,C,656,2001,Low Operability,N,656
269,0,0,0,C,2001,2001,Low Operability,N,656
270,0,0,0,N,684,2011,Operable,N,684
271,0,0,0,C,684,2011,Operable,N,684
272,0,0,0,C,2011,2011,Operable,N,684
273,0,0,0,N,149,2021,Operable,N,149
274,0,0,0,C,149,2021,Operable,N,149
275,0,0,0,C,2021,2021,Operable,N,149
276,0,0,0,N,325,2001,Operable,N,325
277,0,0,0,C,325,2001,Operable,N,325
278,0,0,0,C,2001,2001,Operable,N,325
279,0,0,0,N,643,643,Reserve,N,643
280,0,0,0,N,645,2011,Operable,N,645
281,0,0,0,C,645,2011,Operable,N,645
282,0,0,0,C,2011,2011,Operable,N,645
283,0,0,0,N,2111,781,Reserve,N,2111
284,0,0,0,N,948,2001,Operable,N,948
285,0,0,0,C,948,2001,Operable,N,948
286,0,0,0,C,2001,2001,Operable,N,948
287,0,0,0,N,355,2021,Operable,N,355
288,0,0,0,C,355,2021,Operable,N,355
289,0,0,0,C,2021,2021,Operable,N,355
290,0,0,0,N,558,2011,Low Operability,N,558
291,0,0,0,C,558,2011,Low Operability,N,558
292,0,0,0,C,2011,2011,Low Operability,N,558
293,0,0,0,N,610,2011,Operable,N,610
294,0,0,0,C,610,2011,Operable,N,610
295,0,0,0,C,2011,2011,Operable,N,610
296,0,0,0,N,616,2011,Operable,N,616
297,0,0,0,C,616,2011,Operable,N,616
298,0,0,0,C,2011,2011,Operable,N,616
299,0,0,0,N,814,2001,Operable,N,814
300,0,0,0,C,814,2001,Operable,N,814
301,0,0,0,C,2001,2001,Operable,N,814
302,0,0,0,N,1055,2001,Operable,N,1055
303,0,0,0,C,1055,2001,Operable,N,1055
304,0,0,0,C,2001,2001,Operable,N,1055
305,0,0,0,N,180,2011,Operable,N,180
306,0,0,0,C,180,2011,Operable,N,180
307,0,0,0,C,2011,2011,Operable,N,180
308,0,0,0,N,415,415,Reserve,N,415
309,0,0,0,N,450,2021,Operable,N,450
310,0,0,0,C,450,2021,Operable,N,450
311,0,0,0,C,2021,2021,Operable,N,450
312,0,0,0,N,624,624,Reserve,N,624
313,0,0,0,N,2121,691,Riparian,N,2121
314,0,0,0,N,894,894,Reserve,N,894
315,0,0,0,N,980,2001,Operable,N,980
316,0,0,0,C,980,2001,Operable,N,980
317,0,0,0,C,2001,2001,Operable,N,980
318,0,0,0,N,150,2021,Operable,N,150
319,0,0,0,C,150,2021,Operable,N,150
320,0,0,0,C,2021,2021,Operable,N,150
321,0,0,0,N,559,2011,Low Operability,N,559
322,0,0,0,C,559,2011,Low Operability,N,559
323,0,0,0,C,2011,2011,Low Operability,N,559
324,0,0,0,N,210,2001,Operable,N,210
325,0,0,0,C,210,2001,Operable,N,210
326,0,0,0,C,2001,2001,Operable,N,210
327,0,0,0,N,629,2001,Low Operability,N,629
328,0,0,0,C,629,2001,Low Operability,N,629
329,0,0,0,C,2001,2001,Low Operability,N,629
330,0,0,0,N,522,2022,Operable,Y,522
331,0,0,0,C,522,2022,Operable,Y,522
332,0,0,0,C,2022,2022,Operable,Y,522
334,0,0,0,C,thn_2022,2022,Operable,Y,522
333,0,0,0,C,thn_522,2022,Operable,Y,522
335,0,0,0,N,682,682,Reserve,N,682
336,0,0,0,N,717,717,Reserve,N,717
337,0,0,0,N,2101,214,Reserve,N,2101
338,0,0,0,N,769,2002,Operable,Y,769
339,0,0,0,C,769,2002,Operable,Y,769
340,0,0,0,C,2002,2002,Operable,Y,769
342,0,0,0,C,thn_2002,2002,Operable,Y,769
341,0,0,0,C,thn_769,2002,Operable,Y,769
343,0,0,0,N,392,2022,Operable,Y,392
344,0,0,0,C,392,2022,Operable,Y,392
345,0,0,0,C,2022,2022,Operable,Y,392
347,0,0,0,C,thn_2022,2022,Operable,Y,392
346,0,0,0,C,thn_392,2022,Operable,Y,392
348,0,0,0,N,398,2002,Operable,Y,398
349,0,0,0,C,398,2002,Operable,Y,398
350,0,0,0,C,2002,2002,Operable,Y,398
352,0,0,0,C,thn_2002,2002,Operable,Y,398
351,0,0,0,C,thn_398,2002,Operable,Y,398
353,0,0,0,N,473,473,Reserve,N,473
354,0,0,0,N,565,2012,Operable,Y,565
355,0,0,0,C,565,2012,Operable,Y,565
356,0,0,0,C,2012,2012,Operable,Y,565
358,0,0,0,C,thn_2012,2012,Operable,Y,565
357,0,0,0,C,thn_565,2012,Operable,Y,565
359,0,0,0,N,620,2002,Low Operability,N,620
360,0,0,0,C,620,2002,Low Operability,N,620
361,0,0,0,C,2002,2002,Low Operability,N,620
362,0,0,0,N,700,2022,Operable,Y,700
363,0,0,0,C,700,2022,Operable,Y,700
364,0,0,0,C,2022,2022,Operable,Y,700
366,0,0,0,C,thn_2022,2022,Operable,Y,700
365,0,0,0,C,thn_700,2022,Operable,Y,700
367,0,0,0,N,397,2002,Operable,Y,397
368,0,0,0,C,397,2002,Operable,Y,397
369,0,0,0,C,2002,2002,Operable,Y,397
371,0,0,0,C,thn_2002,2002,Operable,Y,397
370,0,0,0,C,thn_397,2002,Operable,Y,397
372,0,0,0,N,466,2022,Low Operability,N,466
373,0,0,0,C,466,2022,Low Operability,N,466
374,0,0,0,C,2022,2022,Low Operability,N,466
375,0,0,0,N,520,2022,Operable,Y,520
376,0,0,0,C,520,2022,Operable,Y,520
377,0,0,0,C,2022,2022,Operable,Y,520
379,0,0,0,C,thn_2022,2022,Operable,Y,520
378,0,0,0,C,thn_520,2022,Operable,Y,520
380,0,0,0,N,533,2002,Low Operability,N,533
381,0,0,0,C,533,2002,Low Operability,N,533
382,0,0,0,C,2002,2002,Low Operability,N,533
383,0,0,0,N,635,2012,Operable,Y,635
384,0,0,0,C,635,2012,Operable,Y,635
385,0,0,0,C,2012,2012,Operable,Y,635
387,0,0,0,C,thn_2012,2012,Operable,Y,635
386,0,0,0,C,thn_635,2012,Operable,Y,635
388,0,0,0,N,649,2012,Operable,Y,649
389,0,0,0,C,649,2012,Operable,Y,649
390,0,0,0,C,2012,2012,Operable,Y,649
392,0,0,0,C,thn_2012,2012,Operable,Y,649
391,0,0,0,C,thn_649,2012,Operable,Y,649
393,0,0,0,N,654,2012,Operable,Y,654
394,0,0,0,C,654,2012,Operable,Y,654
395,0,0,0,C,2012,2012,Operable,Y,654
397,0,0,0,C,thn_2012,2012,Operable,Y,654
396,0,0,0,C,thn_654,2012,Operable,Y,654
398,0,0,0,N,617,617,Reserve,N,617
399,0,0,0,N,652,652,Reserve,N,652
400,0,0,0,N,657,2002,Low Operability,N,657
401,0,0,0,C,657,2002,Low Operability,N,657
402,0,0,0,C,2002,2002,Low Operability,N,657
403,0,0,0,N,755,2022,Operable,Y,755
404,0,0,0,C,755,2022,Operable,Y,755
405,0,0,0,C,2022,2022,Operable,Y,755
407,0,0,0,C,thn_2022,2022,Operable,Y,755
406,0,0,0,C,thn_755,2022,Operable,Y,755
408,0,0,0,N,853,2002,Operable,Y,853
409,0,0,0,C,853,2002,Operable,Y,853
410,0,0,0,C,2002,2002,Operable,Y,853
412,0,0,0,C,thn_2002,2002,Operable,Y,853
411,0,0,0,C,thn_853,2002,Operable,Y,853
413,0,0,0,N,802,2002,Operable,Y,802
414,0,0,0,C,802,2002,Operable,Y,802
415,0,0,0,C,2002,2002,Operable,Y,802
417,0,0,0,C,thn_2002,2002,Operable,Y,802
416,0,0,0,C,thn_802,2002,Operable,Y,802
418,0,0,0,N,229,229,Reserve,N,229
419,0,0,0,N,529,2012,Operable,Y,529
420,0,0,0,C,529,2012,Operable,Y,529
421,0,0,0,C,2012,2012,Operable,Y,529
423,0,0,0,C,thn_2012,2012,Operable,Y,529
422,0,0,0,C,thn_529,2012,Operable,Y,529
424,0,0,0,N,544,2002,Operable,Y,544
425,0,0,0,C,544,2002,Operable,Y,544
426,0,0,0,C,2002,2002,Operable,Y,544
428,0,0,0,C,thn_2002,2002,Operable,Y,544
427,0,0,0,C,thn_544,2002,Operable,Y,544
429,0,0,0,N,567,2022,Operable,Y,567
430,0,0,0,C,567,2022,Operable,Y,567
431,0,0,0,C,2022,2022,Operable,Y,567
433,0,0,0,C,thn_2022,2022,Operable,Y,567
432,0,0,0,C,thn_567,2022,Operable,Y,567
434,0,0,0,N,941,941,Reserve,N,941
435,0,0,0,N,2111,723,Reserve,N,2111
436,0,0,0,N,272,2012,Operable,Y,272
437,0,0,0,C,272,2012,Operable,Y,272
438,0,0,0,C,2012,2012,Operable,Y,272
440,0,0,0,C,thn_2012,2012,Operable,Y,272
439,0,0,0,C,thn_272,2012,Operable,Y,272
441,0,0,0,N,460,2022,Operable,Y,460
442,0,0,0,C,460,2022,Operable,Y,460
443,0,0,0,C,2022,2022,Operable,Y,460
445,0,0,0,C,thn_2022,2022,Operable,Y,460
444,0,0,0,C,thn_460,2022,Operable,Y,460
446,0,0,0,N,493,2012,Operable,Y,493
447,0,0,0,C,493,2012,Operable,Y,493
448,0,0,0,C,2012,2012,Operable,Y,493
450,0,0,0,C,thn_2012,2012,Operable,Y,493
449,0,0,0,C,thn_493,2012,Operable,Y,493
451,0,0,0,N,505,2012,Operable,Y,505
452,0,0,0,C,505,2012,Operable,Y,505
453,0,0,0,C,2012,2012,Operable,Y,505
455,0,0,0,C,thn_2012,2012,Operable,Y,505
454,0,0,0,C,thn_505,2012,Operable,Y,505
456,0,0,0,N,552,2012,Low Operability,N,552
457,0,0,0,C,552,2012,Low Operability,N,552
458,0,0,0,C,2012,2012,Low Operability,N,552
459,0,0,0,N,637,2012,Low Operability,N,637
460,0,0,0,C,637,2012,Low Operability,N,637
461,0,0,0,C,2012,2012,Low Operability,N,637
462,0,0,0,N,764,2012,Operable,Y,764
463,0,0,0,C,764,2012,Operable,Y,764
464,0,0,0,C,2012,2012,Operable,Y,764
466,0,0,0,C,thn_2012,2012,Operable,Y,764
465,0,0,0,C,thn_764,2012,Operable,Y,764
467,0,0,0,N,957,2002,Operable,Y,957
468,0,0,0,C,957,2002,Operable,Y,957
469,0,0,0,C,2002,2002,Operable,Y,957
471,0,0,0,C,thn_2002,2002,Operable,Y,957
