au,BA,CW,DR,FD,HW,YC,Dec,Oth
277,0,64.8330359418811,0,23.4446427054125,0,11.7223213527062,0,0
278,0,45,0,50,0,0,0,5
279,0,30,0,0,70,0,0,0
280,5.44011209181533,34.5598879081846,0,26.320336275446,22.7994395409233,5.44011209181533,0,5.44011209181533
281,0,5,5,65,25,0,0,0
283,0,55,0,0,45,0,0,0
284,0,0,0,100,0,0,0,0
285,0,96.1779006794007,0,0,3.8220993205992,0,0,0
286,0,45,0,0,55,0,0,0
287,0,40,0,40,0,20,0,0
289,0,0,10,80,10,0,0,0
290,0,0,100,0,0,0,0,0
291,0,50,0,40,0,0,0,10
292,0,35,0,5,60,0,0,0
293,10,60,0,30,0,0,0,0
294,0,0,0,75,25,0,0,0
295,0,30,10,40,20,0,0,0
296,0,30,5,25,40,0,0,0
297,0,10,5,40,35,0,10,0
298,0,0,0,100,0,0,0,0
299,0,10,75,0,5,0,10,0
300,0,25,0,35,40,0,0,0
301,0,20,0,0,80,0,0,0
303,0,20,0,0,80,0,0,0
306,0,40,0,10,50,0,0,0
307,0,25,0,5,70,0,0,0
308,0,35,0,5,60,0,0,0
309,0,30,0,10,60,0,0,0
310,0,15,5,0,70,0,10,0
311,0,50,0,20,30,0,0,0
312,0,31,4,62,3,0,0,0
314,0,50,0,20,0,0,0,30
315,0,0,0,100,0,0,0,0
318,0,0,100,0,0,0,0,0
319,0,40.2018402794892,0,49.3944791615321,9.79815972051069,0,0,0.605520838467911
320,0,15,0,15,70,0,0,0
321,0,15,5,10,70,0,0,0
322,0,70,0,5,25,0,0,0
323,0,35,0,0,65,0,0,0
324,0,80,0,0,20,0,0,0
325,0,10,20,35,35,0,0,0
326,0,20,5,20,55,0,0,0
327,0,20,0,10,70,0,0,0
328,0,36,0,33,31,0,0,0
329,0,0,0,0,0,0,100,0
330,0,30,0,25,45,0,0,0
331,0,0,0,100,0,0,0,0
332,0,20,0,80,0,0,0,0
334,0,15,5,20,60,0,0,0
336,0,10,2,10,78,0,0,0
337,0,25,3,10,60,0,2,0
343,0,10,0,90,0,0,0,0
349,0,10,0,10,80,0,0,0
350,0,20,0,40,40,0,0,0
351,0,60,10,15,15,0,0,0
352,0,20,10,30,40,0,0,0
353,0,25,0,10,65,0,0,0
354,0,15,0,50,35,0,0,0
355,2,30,0,5,63,0,0,0
356,0,10,0,40,50,0,0,0
362,0,55,0,20,20,0,0,5
363,0,47,45,8,0,0,0,0
364,0,40,0,10,50,0,0,0
365,0,15,0,50,35,0,0,0
366,0,45,0,15,40,0,0,0
368,0,25,20,20,35,0,0,0
369,0,45,0,0,55,0,0,0
370,0,0,100,0,0,0,0,0
371,0,0,80,0,5,0,15,0
372,0,0,0,0,100,0,0,0
373,0,10,0,10,80,0,0,0
374,0,50,0,15,35,0,0,0
375,0,0,100,0,0,0,0,0
376,10,10,0,0,80,0,0,0
377,0,40,0,10,50,0,0,0
378,0,40,0,14,45,0,0,1
379,15,75,0,0,10,0,0,0
380,10,40,40,0,10,0,0,0
381,10,50,0,0,40,0,0,0
382,0,5,0,5,90,0,0,0
383,0,10,0,35,55,0,0,0
384,0,10,0,20,70,0,0,0
385,0,30,5,0,65,0,0,0
386,0,35,5,5,55,0,0,0
387,0,20,0,15,65,0,0,0
388,0,20,0,5,75,0,0,0
389,0,15,0,5,80,0,0,0
390,0,30,0,0,70,0,0,0
391,0,40,0,35,25,0,0,0
392,0,15,0,5,80,0,0,0
393,0,80,0,0,20,0,0,0
394,0,10,0,40,50,0,0,0
395,0,60,0,0,40,0,0,0
396,0,35,0,40,25,0,0,0
397,0,10,0,10,80,0,0,0
398,5,70,0,5,20,0,0,0
399,0,20,0,10,70,0,0,0
400,0,15,0,75,7,0,3,0
401,0,10,0,50,40,0,0,0
402,0,10,0,10,80,0,0,0
403,0,15,0,15,70,0,0,0
404,40,20,0,0,40,0,0,0
405,10,20,0,0,70,0,0,0
406,30,25,0,0,45,0,0,0
407,30,25,0,0,45,0,0,0
408,0,20,0,0,80,0,0,0
409,20,20,0,0,60,0,0,0
410,30,25,0,0,45,0,0,0
411,20,20,0,0,60,0,0,0
412,0,35,0,15,50,0,0,0
413,0,20,0,20,60,0,0,0
414,0,5,0,30,65,0,0,0
415,0,10,0,30,60,0,0,0
416,0,15,0,5,80,0,0,0
417,0,0,0,70,30,0,0,0
418,20,40,0,0,40,0,0,0
419,0,15,0,15,70,0,0,0
420,20,20,0,0,60,0,0,0
421,20,20,0,0,60,0,0,0
422,25,20,0,0,55,0,0,0
423,10,25,0,0,65,0,0,0
424,40,20,0,0,40,0,0,0
425,45,20,0,0,35,0,0,0
426,10,20,0,5,65,0,0,0
427,0,4.42781620151008,0,55.7218379848991,39.8503458135907,0,0,0
428,0,15,15,40,30,0,0,0
429,0,30,10,25,35,0,0,0
430,0,0,85,5,10,0,0,0
431,0,15,0,15,70,0,0,0
432,0,20,0,20,60,0,0,0
433,0,60,0,0,40,0,0,0
434,0,20,10,50,20,0,0,0
435,0,20,0,0,80,0,0,0
436,0,27,0,3,70,0,0,0
437,0,30,0,50,20,0,0,0
