TRACK,STRATA
230,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Low Operability)+ct(N)+aux(557)
231,1.0 x 0+treatment()+status(N)+au(739)+auf(739)+oper(Reserve)+ct(N)+aux(739)
232,1.0 x 0+treatment()+status(N)+au(220)+auf(2011)+oper(Operable)+ct(N)+aux(220):R
233,1.0 x 0+treatment()+status(C)+au(220)+auf(2011)+oper(Operable)+ct(N)+aux(220)
234,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Operable)+ct(N)+aux(220)
235,1.0 x 0+treatment()+status(N)+au(465)+auf(2021)+oper(Low Operability)+ct(N)+aux(465):R
236,1.0 x 0+treatment()+status(C)+au(465)+auf(2021)+oper(Low Operability)+ct(N)+aux(465)
237,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Low Operability)+ct(N)+aux(465)
238,1.0 x 0+treatment()+status(N)+au(604)+auf(2011)+oper(Operable)+ct(N)+aux(604):R
239,1.0 x 0+treatment()+status(C)+au(604)+auf(2011)+oper(Operable)+ct(N)+aux(604)
240,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Operable)+ct(N)+aux(604)
241,1.0 x 0+treatment()+status(N)+au(384)+auf(2021)+oper(Operable)+ct(N)+aux(384):R
242,1.0 x 0+treatment()+status(C)+au(384)+auf(2021)+oper(Operable)+ct(N)+aux(384)
243,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(384)
244,1.0 x 0+treatment()+status(N)+au(399)+auf(399)+oper(Reserve)+ct(N)+aux(399)
245,1.0 x 0+treatment()+status(N)+au(543)+auf(2001)+oper(Operable)+ct(N)+aux(543):R
246,1.0 x 0+treatment()+status(C)+au(543)+auf(2001)+oper(Operable)+ct(N)+aux(543)
247,1.0 x 0+treatment()+status(C)+au(2001)+auf(2001)+oper(Operable)+ct(N)+aux(543)
248,1.0 x 0+treatment()+status(N)+au(666)+auf(2011)+oper(Low Operability)+ct(N)+aux(666):R
249,1.0 x 0+treatment()+status(C)+au(666)+auf(2011)+oper(Low Operability)+ct(N)+aux(666)
250,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Low Operability)+ct(N)+aux(666)
251,1.0 x 0+treatment()+status(N)+au(759)+auf(2011)+oper(Low Operability)+ct(N)+aux(759):R
252,1.0 x 0+treatment()+status(C)+au(759)+auf(2011)+oper(Low Operability)+ct(N)+aux(759)
253,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Low Operability)+ct(N)+aux(759)
254,1.0 x 0+treatment()+status(N)+au(762)+auf(2011)+oper(Low Operability)+ct(N)+aux(762):R
255,1.0 x 0+treatment()+status(C)+au(762)+auf(2011)+oper(Low Operability)+ct(N)+aux(762)
256,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Low Operability)+ct(N)+aux(762)
257,1.0 x 0+treatment()+status(N)+au(765)+auf(765)+oper(Reserve)+ct(N)+aux(765)
258,1.0 x 0+treatment()+status(N)+au(51)+auf(2021)+oper(Operable)+ct(N)+aux(51):R
259,1.0 x 0+treatment()+status(C)+au(51)+auf(2021)+oper(Operable)+ct(N)+aux(51)
